city,number_of_bedrooms,number_of_bathrooms,furnished,power_supply_hours,security_level,estate_type,proximity_to_road,parking_space,monthly_rent
Abuja,2,1,Yes,4,Low,Non-Estate,Near,No,470000
Ilorin,4,2,Yes,4,Medium,Non-Estate,Far,Yes,295000
Ibadan,5,4,No,16,High,Non-Estate,Far,No,600000
Port Harcourt,1,1,Yes,12,Low,Estate,Far,No,300000
Lagos,4,3,No,16,Medium,Estate,Far,Yes,1175000
Lagos,3,2,No,20,Medium,Non-Estate,Near,Yes,885000
Lagos,5,4,No,8,Medium,Non-Estate,Near,Yes,915000
Benin,2,1,No,12,Medium,Estate,Far,No,210000
Port Harcourt,4,2,No,12,Low,Estate,Far,Yes,740000
Ibadan,1,1,Yes,24,High,Estate,Near,Yes,380000
Lagos,2,1,Yes,16,Low,Non-Estate,Near,Yes,660000
Ilorin,1,1,No,20,Medium,Estate,Far,No,150000
Ibadan,5,3,Yes,8,Low,Non-Estate,Near,No,525000
Lagos,4,2,No,16,Medium,Estate,Near,No,1030000
Lagos,4,3,No,8,Medium,Estate,Near,No,860000
Lagos,4,4,No,8,High,Estate,Near,Yes,945000
Abuja,1,1,No,20,Medium,Non-Estate,Near,Yes,540000
Abuja,2,1,No,0,Medium,Non-Estate,Far,No,310000
Abuja,1,1,No,24,High,Estate,Far,No,615000
Lagos,2,2,No,4,Medium,Non-Estate,Far,Yes,405000
Port Harcourt,2,1,No,16,Medium,Estate,Far,Yes,495000
Lagos,2,2,No,8,Medium,Non-Estate,Near,No,445000
Lagos,2,2,No,8,Medium,Non-Estate,Far,Yes,475000
Abuja,1,1,No,8,High,Estate,Far,Yes,400000
Abuja,2,1,No,12,Low,Non-Estate,Far,No,495000
Ibadan,1,1,No,8,Medium,Non-Estate,Far,No,160000
Lagos,5,3,No,16,Medium,Estate,Near,Yes,1460000
Abuja,3,3,Yes,0,High,Non-Estate,Near,Yes,845000
Port Harcourt,5,3,No,4,High,Estate,Near,Yes,820000
Lagos,2,1,Yes,4,Medium,Non-Estate,Far,No,390000
Port Harcourt,2,1,No,12,Medium,Estate,Near,No,415000
Lagos,3,2,No,16,Medium,Non-Estate,Far,No,665000
Lagos,2,1,No,20,Medium,Estate,Near,Yes,620000
Benin,2,1,Yes,8,High,Estate,Far,Yes,330000
Ilorin,2,1,No,12,High,Estate,Near,No,240000
Ibadan,1,1,No,16,High,Estate,Near,Yes,230000
Abuja,2,1,Yes,8,Low,Non-Estate,Near,No,590000
Lagos,2,1,Yes,12,High,Estate,Far,No,780000
Port Harcourt,3,2,No,12,High,Non-Estate,Near,Yes,570000
Abuja,1,1,No,4,Medium,Estate,Far,No,335000
Lagos,2,2,Yes,0,Medium,Non-Estate,Near,Yes,450000
Abuja,4,3,No,4,High,Non-Estate,Far,No,735000
Lagos,1,1,No,12,Medium,Non-Estate,Near,Yes,370000
Benin,2,1,No,4,High,Non-Estate,Far,No,195000
Lagos,4,4,No,4,Medium,Non-Estate,Near,No,685000
Port Harcourt,2,1,No,8,Medium,Non-Estate,Far,Yes,335000
Abuja,1,1,No,4,High,Estate,Near,Yes,410000
Abuja,2,1,No,4,Medium,Non-Estate,Far,Yes,465000
Abuja,2,1,Yes,20,High,Non-Estate,Far,Yes,995000
Lagos,3,2,Yes,0,Medium,Estate,Near,No,585000
Ilorin,4,4,No,16,Medium,Non-Estate,Near,Yes,395000
Ibadan,1,1,No,8,Low,Estate,Far,Yes,150000
Benin,3,3,No,16,Medium,Non-Estate,Far,Yes,275000
